SSTTB1
8227.6,3,37
8227.8,3,39
9000.0,3,42
9000.2,3,101
9080.0,0,63
9080.2,0,62
11227.8,3,36
11427.8,3,81
11428.0,3,109
11710.0,3,25
11728.0,3,110
11729.0,3,2
100000000.0,0,0
SSTTB4A
0.1,2,18
0.2,3,54
0.3,2,8
0.4,3,13
0.5,3,10
0.6,2,71
0.7,0,39
1.1,2,66
1.4,3,83
1.6,3,56
1.7,2,5
5.0,3,103
5.2,3,23
5.7,3,9
5.9,0,31
6.1,0,74
6.5,0,9
6.7,0,11
6.9,3,59
8.7,3,11
10.3,3,27
10.5,3,68
10.7,3,55
13.9,3,57
17.1,3,88
17.3,3,73
18.7,3,16
22.0,0,17
22.9,3,48
23.2,0,23
23.4,3,62
28.0,0,107
28.2,0,24
28.4,3,63
28.7,3,50
28.9,3,47
199.7,3,48
200.0,0,23
200.2,3,62
205.0,0,24
205.7,3,47
305.7,3,69
408.7,0,5
467.7,3,97
100000000.0,0,0
SSTTB3A
0.1,2,58
0.3,2,56
-1.0,0,0
SSTS4C1
0.0,3,12
-1.0,0,0
SSTTB6A
0.2,3,111
0.4,3,107
2.2,3,112
2.4,3,108
-1.0,0,0
SSTTB6B
0.2,3,42
0.3,3,101
0.5,0,43
-1.0,0,0
SSTTB6C
0.1,3,4
0.2,3,81
0.4,0,81
0.6,3,87
1.0,3,111
1.1,3,107
1.2,3,43
1.3,3,102
1.4,3,59
1.5,0,46
1.6,3,23
1.8,3,83
2.0,3,29
2.2,3,60
2.4,3,86
3.0,3,112
3.1,3,108
5.2,3,61
6.7,3,74
9.7,3,75
9.9,0,68
-1.0,0,0
SSTGSS
0.0,0,0
-1.0,0,0
SSTSIVA
0.1,3,24
-1.0,0,0
SSTSIVB
0.0,3,12
-1.0,0,0
SSTECS1
0.1,0,108
-1.0,0,0
SSTECSV
0.1,0,107
-1.0,0,0
SSTSBHI
0.1,0,63
-1.0,0,0
SSTSBLO
0.1,0,65
-1.0,0,0
SSTSBOM
0.1,0,64
-1.0,0,0
SSTTB5A
10500.0,3,28
10980.0,3,29
-1.0,0,0
SSTTB5B
15600.0,3,28
16080.0,3,29
-1.0,0,0
SSTGAIN
60.0,0,23
60.5,3,62
61.4,3,63
65.0,0,24
-1.0,0,0
SSTTB7A
0.2,0,44
0.4,0,29
0.6,3,19
0.8,0,82
1.0,3,61
1.2,3,75
-1.0,0,0
END
